time,X,Y,theta_rad,V,steerFL_deg,steerFR_deg,motorFL,motorFR,motorRL,motorRR,brakeFL,brakeFR,brakeRL,brakeRR,plannerNodes,hasSolution,execCompleted,lateralError,headingError
1.160,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,520,0,0,0.000,0.000
1.180,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,538,0,0,0.000,0.000
1.200,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,538,0,0,0.000,0.000
1.220,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,552,0,0,0.000,0.000
1.240,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,568,0,0,0.000,0.000
1.260,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,586,0,0,0.000,0.000
1.280,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,586,0,0,0.000,0.000
1.300,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,607,0,0,0.000,0.000
1.320,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,607,0,0,0.000,0.000
1.340,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,628,0,0,0.000,0.000
1.360,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,650,0,0,0.000,0.000
1.380,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,650,0,0,0.000,0.000
1.400,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,664,0,0,0.000,0.000
1.420,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,683,0,0,0.000,0.000
1.440,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,683,0,0,0.000,0.000
1.460,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,704,0,0,0.000,0.000
1.480,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,724,0,0,0.000,0.000
1.500,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,724,0,0,0.000,0.000
1.520,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,739,0,0,0.000,0.000
1.540,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,739,0,0,0.000,0.000
1.560,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,763,0,0,0.000,0.000
1.580,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,763,0,0,0.000,0.000
1.600,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,763,0,0,0.000,0.000
1.620,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,786,0,0,0.000,0.000
1.640,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,786,0,0,0.000,0.000
1.660,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,807,0,0,0.000,0.000
1.680,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,824,0,0,0.000,0.000
1.700,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,824,0,0,0.000,0.000
1.720,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,841,0,0,0.000,0.000
1.740,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,863,0,0,0.000,0.000
1.760,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,863,0,0,0.000,0.000
1.780,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,883,0,0,0.000,0.000
1.800,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,903,0,0,0.000,0.000
1.820,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,903,0,0,0.000,0.000
1.840,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,917,0,0,0.000,0.000
1.860,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,931,0,0,0.000,0.000
1.880,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,947,0,0,0.000,0.000
1.900,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,947,0,0,0.000,0.000
1.920,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,964,0,0,0.000,0.000
